[2025-11-24 14:21:04] [INFO    ] discord.client: logging in using static token
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1441496998367990021', 'username': 'PereBot', 'avatar': None, 'discriminator': '8615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-24 14:21:04] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1441496998367990021', 'name': 'PereBot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1441496998367990021', 'username': 'PereBot', 'avatar': None, 'discriminator': '8615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7c465722f2416966207ef235822b6f8538823506eacfa2cd14a03d1bd72aa851', 'flags': 524288, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '520863747120824320', 'username': 'dacooldog', 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'a_78d008dbb8433dab51b29da9252cbf12', 'accent_color': 10132122, 'global_name': 'DaCoolDog', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'banner_color': '#9a9a9a', 'clan': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'primary_guild': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-24 14:21:04] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-24 14:21:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-ktvp",{"micros":0.0}]']}}
[2025-11-24 14:21:04] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-24 14:21:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
